Country,year,NT,UT,TFP,NI,GS,ODM,ND,Population,PopulationWithLog,NT,UT,TFP,NI,GS,,ND
PORTUGAL,2021,22,12,0,211,44,66,4280,10298252,7.012763515,3.14E+00,1.71E+00,0.00E+00,30.08799592,6.27E+00,,610.3157466
ROMANIA,2017,9,7,0,14,17,78,888,19643949,7.293228798,1.23E+00,9.60E-01,0.00E+00,1.919588757,2.33E+00,,121.7567726
ROMANIA,2018,24,20,0,4,15,62,1122,19533481,7.290779644,3.29E+00,2.74E+00,0.00E+00,0.54863817,2.06E+00,,153.8930066
ROMANIA,2019,1,1,0,0,19,57,1418,19414458,7.288125271,1.37E-01,1.37E-01,0.00E+00,0,2.61E+00,,194.5630663
ROMANIA,2020,12,6,0,7,18,69,1755,19328838,7.286205746,1.65E+00,8.23E-01,0.00E+00,0.960719508,2.47E+00,,240.8661052
ROMANIA,2021,27,18,0,31,24,76,1767,19201662,7.283338821,3.71E+00,2.47E+00,0.00E+00,4.256289699,3.30E+00,,242.6085129
SLOVAKIA,2017,5,3,0,3,3,77,1578,5435343,6.735226956,7.42E-01,4.45E-01,0.00E+00,0.445419289,4.45E-01,,234.2905459
SLOVAKIA,2018,7,3,0,1,8,74,1780,5443120,6.735847909,1.04E+00,4.45E-01,0.00E+00,0.148459409,1.19E+00,,264.2577481
SLOVAKIA,2019,7,1,0,0,8,33,2008,5450421,6.736430049,1.04E+00,1.48E-01,0.00E+00,0,1.19E+00,,298.080732
SLOVAKIA,2020,7,1,0,0,6,53,2233,5457873,6.737023426,1.04E+00,1.48E-01,0.00E+00,0,8.91E-01,,331.4520165
SLOVAKIA,2021,6,2,0,0,14,50,2094,5459781,6.737175223,8.91E-01,2.97E-01,0.00E+00,0,2.08E+00,,310.8127562
SLOVENIA,2017,5,5,0,12,1,82,3195,2065895,6.315108245,7.92E-01,7.92E-01,0.00E+00,1.900204959,1.58E-01,,505.9295702
SLOVENIA,2018,1,1,0,6,3,75,3893,2066880,6.315315263,1.58E-01,1.58E-01,0.00E+00,0.950071335,4.75E-01,,616.4379509
SLOVENIA,2019,2,2,0,4,12,75,4744,2080908,6.31825288,3.17E-01,3.17E-01,0.00E+00,0.633086405,1.90E+00,,750.840476
SLOVENIA,2020,4,4,0,261,22,84,4765,2095861,6.321362476,6.33E-01,6.33E-01,0.00E+00,41.28856729,3.48E+00,,753.7931922
SLOVENIA,2021,2,2,0,12,21,92,6939,2108977,6.324071843,3.16E-01,3.16E-01,0.00E+00,1.89751165,3.32E+00,,1097.236112
SPAIN,2017,1648,496,306,8249,86,94,11599,46528024,7.667714609,2.15E+02,6.47E+01,3.99E+01,1075.809471,1.12E+01,,1512.706275
SPAIN,2018,1393,408,310,8432,110,87,16186,46658447,7.668930279,1.82E+02,5.32E+01,4.04E+01,1099.501455,1.43E+01,,2110.59423
SPAIN,2019,1971,517,561,16011,80,90,22586,46937060,7.671515883,2.57E+02,6.74E+01,7.31E+01,2087.071218,1.04E+01,,2944.137814
SPAIN,2020,1377,394,320,10086,120,94,26403,47332614,7.67516049,1.79E+02,5.13E+01,4.17E+01,1314.109329,1.56E+01,,3440.058359
SPAIN,2021,1497,319,431,10987,152,95,47580,47398695,7.675766385,1.95E+02,4.16E+01,5.62E+01,1431.388014,1.98E+01,,6198.729562
SWEDEN,2017,19,12,0,54,7,65,523,9995153,6.999789446,2.71E+00,1.71E+00,0.00E+00,7.71451776,1.00E+00,,74.71653312
SWEDEN,2018,43,20,0,438,12,52,936,10120242,7.005190898,6.14E+00,2.86E+00,0.00E+00,62.52506269,1.71E+00,,133.6152025
SWEDEN,2019,13,9,0,176,8,55,1673,10230185,7.009883487,1.85E+00,1.28E+00,0.00E+00,25.10740732,1.14E+00,,238.6630253
SWEDEN,2020,13,6,0,54,23,84,5148,10327589,7.013998946,1.85E+00,8.55E-01,0.00E+00,7.698889095,3.28E+00,,733.9607604
SWEDEN,2021,11,8,0,83,26,84,6868,10379295,7.016167856,1.57E+00,1.14E+00,0.00E+00,11.8298196,3.71E+00,,978.8819397
